3連単,型00_3号艇ド弱_壁抜け型,型01_5号艇エース_展開型,型02_4カド一撃型,型03_4カド一撃型,型04_6号艇エース_展開型,型05_6号艇エース_展開型,型06_2号艇軸_標準型,型07_イン凹み_中枠強襲型,型08_6号艇ド弱_壁抜け型,型09_4号艇ド弱_壁抜け型,型10_2号艇ド弱_壁抜け型,型11_5号艇ド弱_壁抜け型
5-3-6,0.11,0.62,0.18,0.06,0.36,0.0,0.1,0.1,0.06,0.47,0.23,0.05
5-4-1,0.11,0.48,0.57,1.41,0.36,0.11,0.62,0.17,0.44,0.12,0.06,0.18
5-4-2,0.11,0.07,0.48,0.18,0.28,0.0,0.41,0.4,0.5,0.29,0.16,0.05
5-4-3,0.07,0.37,0.27,0.43,0.08,0.0,0.1,0.1,0.38,0.18,0.19,0.14
5-4-6,0.19,0.26,0.54,0.37,0.6,0.11,0.41,0.2,0.13,0.12,0.48,0.05
5-6-1,0.07,0.33,0.24,0.06,0.52,0.05,0.52,0.17,0.06,0.53,0.1,0.0
5-6-2,0.15,0.15,0.12,0.0,0.44,0.11,0.31,0.07,0.0,0.99,0.0,0.0
5-6-3,0.07,0.48,0.12,0.0,0.28,0.0,0.14,0.23,0.13,0.76,0.23,0.09
5-6-4,0.0,0.15,0.15,0.06,0.6,0.05,0.31,0.1,0.0,0.12,0.06,0.05
6-1-2,0.44,0.07,0.15,0.0,0.8,1.49,0.17,0.1,0.06,1.34,0.23,0.0
6-1-3,0.15,0.26,0.18,0.0,0.52,0.8,0.03,0.1,0.0,0.82,0.48,0.05
6-1-4,0.33,0.18,0.36,0.0,1.01,0.9,0.14,0.07,0.0,0.29,0.51,0.05
6-1-5,0.07,0.18,0.15,0.0,0.36,0.42,0.48,0.1,0.0,0.99,0.13,0.0
6-2-1,0.33,0.11,0.09,0.0,0.8,0.8,0.17,0.17,0.0,0.88,0.13,0.05
6-2-3,0.15,0.07,0.03,0.0,0.88,0.96,0.07,0.26,0.0,0.47,0.13,0.09
6-2-4,0.26,0.15,0.06,0.0,0.52,1.06,0.21,0.13,0.06,0.12,0.06,0.05
6-2-5,0.11,0.04,0.03,0.0,0.36,0.16,0.1,0.2,0.0,0.29,0.16,0.14
6-3-1,0.07,0.07,0.09,0.0,0.48,0.64,0.03,0.2,0.13,0.7,0.42,0.05
6-3-2,0.04,0.04,0.03,0.0,0.44,1.06,0.03,0.13,0.0,0.53,0.13,0.0
6-3-4,0.04,0.04,0.03,0.06,0.52,0.48,0.14,0.03,0.0,0.18,0.45,0.0
6-3-5,0.07,0.11,0.09,0.0,0.36,0.11,0.03,0.03,0.0,0.53,0.32,0.0
6-4-1,0.26,0.0,0.15,0.0,0.32,0.58,0.1,0.13,0.0,0.12,0.51,0.05
6-4-2,0.41,0.04,0.18,0.0,0.52,0.64,0.07,0.07,0.0,0.18,0.1,0.0
6-4-3,0.07,0.07,0.09,0.0,0.24,0.64,0.0,0.1,0.0,0.06,0.23,0.09
6-4-5,0.11,0.07,0.09,0.0,0.28,0.27,0.0,0.0,0.0,0.12,0.13,0.05
6-5-1,0.07,0.11,0.15,0.06,0.52,0.05,0.14,0.03,0.0,0.58,0.1,0.05
6-5-2,0.04,0.11,0.09,0.0,0.76,0.16,0.1,0.03,0.0,0.41,0.06,0.0
6-5-3,0.0,0.18,0.12,0.0,0.48,0.05,0.03,0.13,0.06,0.35,0.16,0.09
6-5-4,0.07,0.15,0.15,0.06,0.72,0.21,0.1,0.03,0.0,0.12,0.0,0.0
