3連単,型00_イン凹み_中枠強襲型,型01_イン凹み_中枠強襲型,型02_6号艇エース_展開型,型03_1号艇一強_王道型,型04_5号艇エース_展開型,型05_1号艇軸_標準型,型06_6号艇エース_展開型,型07_4号艇ド弱_壁抜け型,型08_4カド一撃型,型09_4カド一撃型,型10_4号艇ド弱_壁抜け型,型11_2号艇軸_標準型
2-1-4,0.83,3.42,1.34,1.63,0.86,2.03,0.34,1.36,1.19,2.98,0.27,2.38
2-1-5,0.58,2.49,0.19,1.02,1.65,1.54,1.71,2.62,0.41,0.92,0.23,2.2
2-1-6,0.25,0.72,2.11,0.58,0.79,0.12,2.05,0.56,0.68,0.87,1.12,2.78
2-3-1,0.83,0.8,0.83,0.76,0.56,0.93,0.96,2.2,0.24,1.57,0.81,1.33
2-3-4,0.9,1.61,0.7,0.52,0.34,1.06,0.0,1.17,0.24,2.33,0.39,1.19
2-3-5,0.47,1.33,0.19,0.29,0.64,0.93,0.96,2.57,0.07,0.6,0.5,0.83
2-3-6,0.61,0.64,1.54,0.16,0.34,0.16,0.96,0.89,0.24,0.81,0.43,1.26
2-4-1,0.43,1.93,0.64,0.55,0.3,1.14,0.0,0.28,0.44,1.62,0.08,0.87
2-4-3,0.72,1.49,0.38,0.31,0.3,0.73,0.14,0.47,0.27,1.19,0.27,0.54
2-4-5,0.4,1.53,0.06,0.18,0.34,0.49,0.14,0.47,0.27,0.38,0.04,0.97
2-4-6,0.11,1.21,1.34,0.1,0.15,0.04,0.07,0.14,0.24,0.81,0.15,0.87
2-5-1,0.22,0.6,0.0,0.39,0.6,0.85,1.03,0.93,0.17,0.11,0.08,0.54
2-5-3,0.29,0.88,0.0,0.31,0.49,0.61,0.89,1.4,0.17,0.22,0.15,0.58
2-5-4,0.22,1.01,0.0,0.21,0.38,0.49,0.14,0.51,0.2,0.32,0.04,0.22
2-5-6,0.25,0.88,0.0,0.05,0.49,0.04,1.23,0.37,0.17,0.0,0.12,0.43
2-6-1,0.11,0.2,1.28,0.16,0.19,0.08,0.89,0.33,0.37,0.49,0.12,1.01
2-6-3,0.22,0.32,1.6,0.05,0.15,0.04,0.62,0.28,0.07,0.22,0.27,1.26
2-6-4,0.07,0.44,0.83,0.08,0.26,0.0,0.27,0.09,0.24,0.05,0.12,0.97
2-6-5,0.04,0.28,0.0,0.05,0.34,0.0,0.55,0.09,0.17,0.11,0.19,0.69
3-1-2,1.77,0.93,0.83,0.79,0.56,1.18,1.1,2.2,0.31,1.52,1.86,0.79
3-1-4,3.73,0.72,1.47,1.13,0.71,2.07,0.14,1.07,0.92,2.54,2.01,0.32
3-1-5,3.04,0.44,0.06,0.73,1.31,1.26,1.44,2.62,0.61,0.43,2.05,0.54
